,year,t2m,t2m_rolling,t2m_pct_change,state
43,2022,24.302045053675556,23.748197005056703,0.02589052626526578,Kansas
44,2023,23.109153946586332,23.28865160260883,-0.01459776733831153,Kansas
0,1979,23.866593888877105,,,Oklahoma
1,1980,26.53959627013279,,,Oklahoma
2,1981,24.836235156957628,,,Oklahoma
3,1982,23.99965336011809,,,Oklahoma
4,1983,23.61156089893285,24.570727915003694,,Oklahoma
5,1984,24.9303376128708,24.78347665980243,,Oklahoma
6,1985,24.92790708680087,24.461138823136046,,Oklahoma
7,1986,25.246756092016255,24.543243010147773,,Oklahoma
8,1987,24.91046595918965,24.725405529962085,,Oklahoma
9,1988,25.028166663128445,25.008726682801203,0.017826039558642925,Oklahoma
10,1989,23.76359173318616,24.775377506864277,-0.0003267964801439982,Oklahoma
11,1990,25.02967914083729,24.79573191767156,0.013678557525663715,Oklahoma
12,1991,25.626530788255764,24.87168685691946,0.013382251344530527,Oklahoma
13,1992,23.385762753693996,24.56674621582033,-0.006416853869170791,Oklahoma
14,1993,24.674743984056533,24.496061680005948,-0.02049944442584606,Oklahoma
15,1994,24.607344829172348,24.664812299203184,-0.004462705265760758,Oklahoma
16,1995,23.5750688856927,24.37389024817427,-0.017012672620349223,Oklahoma
17,1996,25.734061995796537,24.395396489682422,-0.019149902054372725,Oklahoma
18,1997,23.88761859838513,24.49576765862065,-0.002889212782845929,Oklahoma
19,1998,27.288717297540188,25.018562321317383,0.0213299855355078,Oklahoma
20,1999,24.61151963385987,25.019397282254886,0.014376147636978143,Oklahoma
21,2000,24.944383947400127,25.293260294596372,0.037719462796504954,Oklahoma
22,2001,25.847020091181264,25.315851913673317,0.03773070154363678,Oklahoma
23,2002,24.133372586015355,25.36500271119936,0.03548511174226476,Oklahoma
24,2003,24.792203621242436,24.865699975939812,-0.006109957215539974,Oklahoma
25,2004,24.358868452431523,24.81516973965414,-0.008162768283214938,Oklahoma
26,2005,25.01674035113797,24.82964102040171,-0.01832975538917414,Oklahoma
27,2006,26.43159635239755,24.946556272644965,-0.014587525724500394,Oklahoma
28,2007,24.172494551064347,24.954380665654764,-0.01618852756374023,Oklahoma
29,2008,25.928576792841397,25.181655299974558,0.012706472141965186,Oklahoma
30,2009,25.06799610524945,25.32348083053814,0.020483885309546368,Oklahoma
31,2010,26.07620674907298,25.535374110125144,0.02842300817573462,Oklahoma
32,2011,27.781626980546605,25.805380235754956,0.034426553858727615,Oklahoma
33,2012,27.10220925151441,26.391323175844967,0.05758277592390404,Oklahoma
34,2013,24.86405058045318,26.178417933367324,0.039582887682279244,Oklahoma
35,2014,24.361198093580185,26.03705833103347,0.02817849194076083,Oklahoma
36,2015,25.038808385876678,25.82957865839421,0.011521450478863882,Oklahoma
37,2016,25.467671225727486,25.366787507430388,-0.016996173833426886,Oklahoma
38,2017,25.072977967193196,24.960941250566144,-0.05419894697011629,Oklahoma
39,2018,27.301550867937635,25.448441308063035,-0.02788467306016429,Oklahoma
40,2019,24.626035939092276,25.501408877165453,-0.020572579554026582,Oklahoma
41,2020,25.574893586531914,25.6086259172965,-0.008554252627187342,Oklahoma
42,2021,24.265401536139905,25.368171979378985,5.457813482268037e-05,Oklahoma
43,2022,27.087644096042823,25.77110520514891,0.03245726779491509,Oklahoma
44,2023,25.469475588591195,25.404690149279624,-0.0017192077995578092,Oklahoma
0,1979,15.087763754329387,,,Colorado
1,1980,16.324047571975996,,,Colorado
2,1981,16.171209830527005,,,Colorado
3,1982,14.81540774469795,,,Colorado
4,1983,14.296714578948468,15.339028696095761,,Colorado
5,1984,15.77607531340226,15.476691007910336,,Colorado
6,1985,16.04101318217215,15.420084129949567,,Colorado
7,1986,15.789508094550683,15.343743782754302,,Colorado
8,1987,16.254219941322845,15.631506222079281,,Colorado
9,1988,16.40506812859769,16.053176932009126,0.046557591752542704,Colorado
10,1989,16.264719172886487,16.15090570390597,0.04356323297086129,Colorado
11,1990,15.958586530507773,16.134420373573096,0.04632505488320349,Colorado
12,1991,16.082357641184558,16.19299028289987,0.055348063169569084,Colorado
13,1992,15.121362209912434,15.966418736617788,0.021425479399128422,Colorado
14,1993,15.341520390007076,15.753709188899666,-0.0186547338497427,Colorado
15,1994,17.112341990974414,15.923233752517252,-0.014096543906739423,Colorado
16,1995,13.668729080768856,15.465262262569468,-0.04147394796404691,Colorado
17,1996,16.647508749162228,15.578292484165,-0.03796073411987433,Colorado
18,1997,15.432915856971533,15.64060321357682,-0.020406299522493065,Colorado
19,1998,15.72694849286762,15.71768883414893,-0.00228646817830791,Colorado
20,1999,15.09728741853138,15.314677919660323,-0.038218105839256666,Colorado
21,2000,17.117943992377832,16.00452090198212,0.03486902648381318,Colorado
22,2001,16.580823730089662,15.991183898167606,0.02650427923485843,Colorado
23,2002,17.689834817448002,16.442567690262898,0.05127452347809269,Colorado
24,2003,16.635360620629,16.624250115815176,0.057677772554996176,Colorado
25,2004,15.985799336877676,16.801952499484436,0.097114323110564,Colorado
26,2005,16.58074478244191,16.69451265749725,0.0431123030636722,Colorado
27,2006,17.820872606549983,16.942522432789314,0.05949143857514638,Colorado
28,2007,16.558405784938657,16.716236626287447,0.01664392941417625,Colorado
29,2008,16.064696860461538,16.602103874253952,-0.0013321648439441613,Colorado
30,2009,15.993943822161782,16.603732771310774,-0.011797422244810174,Colorado
31,2010,16.479981686609904,16.58358015214437,-0.006644848377952428,Colorado
32,2011,16.446794270580597,16.308764484950494,-0.03740635140681836,Colorado
33,2012,18.86303517596326,16.769690363155416,0.0031977135800955736,Colorado
34,2013,17.430331577277343,17.04281730651858,0.026545637565132507,Colorado
35,2014,16.31023759782687,17.106076061651596,0.03025484071923934,Colorado
36,2015,15.963304256652464,17.002740575660106,0.025275629247134113,Colorado
37,2016,17.241159282708054,17.1616135780856,0.05229391189762422,Colorado
38,2017,16.95701433027756,16.780409408948458,0.0006391916344856696,Colorado
39,2018,18.721834286991907,17.03870995089137,-0.0002410021508378879,Colorado
40,2019,15.542368880562208,16.88513620743844,-0.012915869976075856,Colorado
41,2020,18.126274189445553,17.317730193997058,0.018525814525916395,Colorado
42,2021,17.517594341017457,17.373017205658936,0.012318400400489482,Colorado
43,2022,17.657885483925384,17.513191436388503,0.04366890041724947,Colorado
44,2023,16.689290488580752,17.10668267670627,0.00398931175017414,Colorado
0,1979,14.403441845852399,,,Wyoming
1,1980,14.869658689913592,,,Wyoming
2,1981,14.464710279133044,,,Wyoming
3,1982,13.205987424435818,,,Wyoming
4,1983,12.995963565163038,13.987952360899579,,Wyoming
5,1984,14.26656158281412,13.960576308291923,,Wyoming
6,1985,15.430728696740232,14.07279030965725,,Wyoming
7,1986,14.596571167655611,14.099162487361763,,Wyoming
8,1987,15.313273193525276,14.520619641179655,,Wyoming
9,1988,16.823194557687543,15.286065839684557,0.09280225191598346,Wyoming
10,1989,14.872260365278862,15.407205596177505,0.10362246199151204,Wyoming
11,1990,14.068745532243156,15.13480896327809,0.07546610375428142,Wyoming
12,1991,14.34466871178671,15.08442847210431,0.06988117100045632,Wyoming
13,1992,14.215477852199399,14.864869403839133,0.02370764961594385,Wyoming
14,1993,12.846732722158038,14.069577036733232,-0.07958154934758732,Wyoming
15,1994,16.368774830776715,14.368879929832804,-0.06739221203112311,Wyoming
16,1995,12.339831727484011,14.023097168880975,-0.07345396939561544,Wyoming
17,1996,14.645220582381569,14.083207542999947,-0.06637446894033305,Wyoming
18,1997,14.248456542388283,14.089803281037723,-0.0521407959764002,Wyoming
19,1998,13.967195906846428,14.313895917975401,0.017365048046881215,Wyoming
20,1999,13.881820919202767,13.816505135660611,-0.038442439276380025,Wyoming
21,2000,15.807230091094993,14.509984808382807,0.034720406885741184,Wyoming
22,2001,16.11641171911492,14.804223035729478,0.05119682363041744,Wyoming
23,2002,16.083348017153583,15.171201330682539,0.07675040084485629,Wyoming
24,2003,15.422938328203998,15.462349814954052,0.08023349502887056,Wyoming
25,2004,14.334103068061495,15.552806244725797,0.12566861822269115,Wyoming
26,2005,14.854289958788002,15.362218218264399,0.058734273063417275,Wyoming
27,2006,17.163466258671008,15.571629126175617,0.05183697169341683,Wyoming
28,2007,16.747534163101875,15.704466355365275,0.03514982189342186,Wyoming
29,2008,14.085984066258334,15.437075502976143,-0.0016345712185004135,Wyoming
30,2009,13.665758850263558,15.303406659416556,-0.016035664650153825,Wyoming
31,2010,13.347361908788287,15.002021049416612,-0.023446950416284418,Wyoming
32,2011,13.60407098687216,14.290141995056842,-0.0822962787473932,Wyoming
33,2012,16.826264145063362,14.30588799144914,-0.08905608966702172,Wyoming
34,2013,16.147451444294177,14.718181467056308,-0.04656931526837693,Wyoming
35,2014,14.465474172260485,14.878124531455693,-0.027790029855814913,Wyoming
36,2015,14.69914972471156,15.148482094640348,0.009762754280992825,Wyoming
37,2016,15.80705173326578,15.589078243919072,0.09089736472258636,Wyoming
38,2017,15.753245811877093,15.37447457728182,0.0746955789442354,Wyoming
39,2018,16.170819429729306,15.379148174368845,0.044908177602781985,Wyoming
40,2019,13.683112416060112,15.222675823128771,0.02315824759663898,Wyoming
41,2020,15.561207338001452,15.395087345786749,0.016279205375543837,Wyoming
42,2021,16.699919443545184,15.57366088784263,-0.0009889844566310924,Wyoming
43,2022,15.214062164140785,15.465824158295367,0.005941639212082794,Wyoming
44,2023,15.024616564875089,15.236583585324524,-0.009269992552768391,Wyoming
0,1979,19.554797201110603,,,Iowa
1,1980,21.09257588040998,,,Iowa
2,1981,20.074053848192932,,,Iowa
3,1982,19.875366188823364,,,Iowa
4,1983,20.205029212103966,20.16036446612817,,Iowa
5,1984,19.6423967112666,20.17788436815937,,Iowa
6,1985,20.324340190058194,20.02423723008901,,Iowa
7,1986,20.852226124639117,20.17987168537825,,Iowa
8,1987,22.288868720750315,20.662572191763637,,Iowa
9,1988,22.571959745250524,21.13595829839295,0.04839167634612451,Iowa
10,1989,20.092392830226743,21.225957522184977,0.05194167708084718,Iowa
11,1990,19.432596949333174,21.047608874039973,0.051106648018193424,Iowa
12,1991,21.672913054682795,21.21174626004871,0.05113385212543875,Iowa
13,1992,19.04217396243189,20.562407308385026,-0.004847648320306264,Iowa
14,1993,19.235866671944564,19.89518869372383,-0.058704203857340986,Iowa
15,1994,20.145202338177285,19.90575059531394,-0.062197756001875604,Iowa
16,1995,19.805439341816907,19.980319073810687,-0.050708363435320036,Iowa
17,1996,18.793054641502522,19.404347391174632,-0.08520745282901221,Iowa
18,1997,19.01901823403182,19.39971624549462,-0.05654450111083442,Iowa
19,1998,20.63052264595956,19.678647440297617,-0.01088410151618846,Iowa
20,1999,20.789409965478285,19.80748896575782,-0.004936343851271396,Iowa
21,2000,20.11509143995204,19.869419385384845,-0.005550446317506785,Iowa
22,2001,20.349985975919765,20.180805652268294,0.040014654728703025,Iowa
23,2002,20.529391759605232,20.482880357382975,0.05583401830116497,Iowa
24,2003,19.428479674703226,20.24247176313171,0.028651579055149146,Iowa
25,2004,19.438958519092523,19.972381473854558,0.008324755772010972,Iowa
26,2005,20.994596689565185,20.148282523777187,0.014034790498078875,Iowa
27,2006,21.261369821299752,20.330559292853184,0.007420597728617251,Iowa
28,2007,21.633418056469623,20.55136455222606,0.003343484590457191,Iowa
29,2008,19.93587996625672,20.65284461053676,0.020272862534133518,Iowa
30,2009,19.208582630249623,20.606769432768182,0.03176326066794233,Iowa
31,2010,20.810080077682755,20.569866110391693,0.020924045814673775,Iowa
32,2011,21.15226197910772,20.54804454195329,0.0106974552921697,Iowa
33,2012,23.169362198097133,20.85523337027879,0.01478582199641898,Iowa
34,2013,19.926810108866732,20.853419398800792,0.00971172698223377,Iowa
35,2014,19.67655030402591,20.94701293355605,0.016511248980484172,Iowa
36,2015,20.385938539366805,20.86218462589286,0.01421100720502455,Iowa
37,2016,21.20995665840485,20.873723561752286,0.015849635673801155,Iowa
38,2017,21.11183003964635,20.46221713006213,-0.018844969664868705,Iowa
39,2018,22.53754686364806,20.984364481018396,0.006279309868248095,Iowa
40,2019,20.37369345328659,21.12379311087053,0.00843939791679249,Iowa
41,2020,21.130303955078148,21.2726661940128,0.019675866908515305,Iowa
42,2021,21.333665798021457,21.29740802193612,0.020297502691861258,Iowa
43,2022,21.609887068743888,21.39701942775563,0.0456843113212857,Iowa
44,2023,21.697403890268845,21.228990833079784,0.011657553521940978,Iowa
0,1979,18.36921510400242,,,South Dakota
1,1980,20.752710363731637,,,South Dakota
2,1981,19.313857709991282,,,South Dakota
3,1982,18.62448471732762,,,South Dakota
4,1983,18.761177522647472,19.164289083540087,,South Dakota
5,1984,18.964415802570613,19.283329223253723,,South Dakota
